trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
465,False,"{'a': 0.25, 'e': 0.009340400272999157}",20,7,23.164156545245664,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.25, 'e': 0.009246996270269165}",20,14,8.737791501323239,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.25, 'e': 0.009154526307566474}",20,16,8.211818396983254,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.25, 'e': 0.009062981044490808}",30,17,22.681186784817108,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.25, 'e': 0.0089723512340459}",25,8,31.049124907610434,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.25, 'e': 0.00888262772170544}",25,0,35.177263194298874,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
471,False,"{'a': 0.25, 'e': 0.008793801444488386}",30,13,32.6978026516721,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.25, 'e': 0.008705863430043502}",30,19,24.06971570888124,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.25, 'e': 0.008618804795743068}",25,5,35.60291906584385,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.25, 'e': 0.008532616747785637}",30,12,17.200454339607113,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
475,False,"{'a': 0.25, 'e': 0.00844729058030778}",30,11,35.161905482420146,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.25, 'e': 0.008362817674504702}",20,5,26.73054787443241,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.25, 'e': 0.008279189497759656}",30,0,48.40275225295923,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
478,False,"{'a': 0.25, 'e': 0.008196397602782058}",20,9,7.959435407208993,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
479,False,"{'a': 0.25, 'e': 0.008114433626754238}",20,11,17.01623074551032,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.25, 'e': 0.008033289290486696}",20,9,22.587212933230592,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.25, 'e': 0.00795295639758183}",20,16,9.596518621747807,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.25, 'e': 0.00787342683360601}",30,11,32.926031369135224,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.25, 'e': 0.0077946925652699495}",25,11,29.143923210305005,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.25, 'e': 0.00771674563961725}",20,0,31.66355865222087,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
485,False,"{'a': 0.25, 'e': 0.007639578183221077}",20,11,9.746700636519344,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.25, 'e': 0.0075631824013888665}",30,16,26.581471680381387,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.25, 'e': 0.0074875505773749785}",20,5,25.20192793533775,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.25, 'e': 0.007412675071601228}",30,18,21.859596354524196,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.25, 'e': 0.007338548320885216}",20,11,14.437726773850727,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.25, 'e': 0.0072651628376763635}",20,8,20.168235031334998,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.25, 'e': 0.0071925112092996}",20,10,16.11310831684525,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.25, 'e': 0.007120586097206604}",25,14,20.525960122377285,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
493,False,"{'a': 0.25, 'e': 0.007049380236234538}",20,12,15.979019622329234,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.25, 'e': 0.006978886433872193}",20,5,30.864115842349683,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,False,"{'a': 0.25, 'e': 0.00690909756953347}",30,22,12.883392007510402,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,False,"{'a': 0.25, 'e': 0.006840006593838136}",20,16,9.061690019192895,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.25, 'e': 0.006771606527899755}",20,8,23.429761705427424,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,False,"{'a': 0.25, 'e': 0.0067038904626207565}",25,2,25.868445965933805,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
499,False,"{'a': 0.25, 'e': 0.006636851557994549}",25,8,30.715218682673182,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,False,"{'a': 0.25, 'e': 0.006570483042414603}",25,14,16.151199880528154,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.25, 'e': 0.006504778211990457}",35,23,24.155481291671492,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.25, 'e': 0.006439730429870553}",20,6,25.381780165343436,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.25, 'e': 0.006375333125571847}",20,10,15.03756451301641,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.25, 'e': 0.006311579794316129}",20,12,14.824401529581756,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.25, 'e': 0.006248463996372967}",20,10,18.758697120888186,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.25, 'e': 0.0061859793564092375}",25,12,22.859529592306888,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.25, 'e': 0.006124119562845145}",35,21,26.91860227159866,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.25, 'e': 0.0060628783672166935}",20,8,21.3420029489153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,False,"{'a': 0.25, 'e': 0.006002249583544526}",20,16,6.551820037506781,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.25, 'e': 0.005942227087709081}",30,20,18.26003601614282,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
